Root -9223372036364447743: #dirs=0, #files=87, size = 9821 = 9.591 KB, found=0, notFound=87
Root -9223372036364329983: #dirs=0, #files=2, size = 5505100 = 5.250 MB, found=0, notFound=2
Root -9223372036363700223: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036363690495: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036363689983: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036357681151: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036357670399: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036357669375: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036355923199: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036354281215: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036352634111: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036352596735: #dirs=2, #files=0, size = 0 = 0 B, found=0, notFound=0
Root -9223372036351501055: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036346362879: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036344722431: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036343083007: #dirs=0, #files=42, size = 5592358038 = 5.208 GB, found=0, notFound=42
Root -9223372036343017983: #dirs=0, #files=21, size = 5592358038 = 5.208 GB, found=0, notFound=21
Root -9223372036342984703: #dirs=0, #files=21, size = 5592358038 = 5.208 GB, found=0, notFound=21
Root -9223372036342951935: #dirs=0, #files=16, size = 5592358038 = 5.208 GB, found=0, notFound=16
Root -9223372036342926847: #dirs=0, #files=11, size = 5592358038 = 5.208 GB, found=0, notFound=11
Root -9223372036342908927: #dirs=0, #files=1067, size = 5592358038 = 5.208 GB, found=0, notFound=1067
Root -9223372036337701887: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036337692159: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036337691647: #dirs=0, #files=3, size = 3145728000000 = 2.861 TB, found=0, notFound=3
Root -9223372036331683071: #dirs=0, #files=3, size = 336 = 336 B, found=0, notFound=3
Root -9223372036331673855: #dirs=0, #files=2, size = 83 = 83 B, found=0, notFound=2
Root -9223372036331666687: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036331629311: #dirs=0, #files=2, size = 83 = 83 B, found=0, notFound=2
Root -9223372036331628799: #dirs=0, #files=30, size = 3145728000000 = 2.861 TB, found=0, notFound=30
Root -9223372036325603583: #dirs=0, #files=30, size = 3380 = 3.301 KB, found=0, notFound=30
Root -9223372036325566719: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036325559551: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036325245695: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036325245183: #dirs=0, #files=300, size = 3145728000000 = 2.861 TB, found=0, notFound=300
Root -9223372036318811647: #dirs=0, #files=300, size = 34090 = 33.291 KB, found=0, notFound=300
Root -9223372036318498303: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036318490623: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036318478847: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036318478335: #dirs=0, #files=5, size = 5242880000000 = 4.768 TB, found=0, notFound=5
Root -9223372036308470783: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036308459519: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036308452351: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036308394495: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036308393983: #dirs=0, #files=50, size = 5242880000000 = 4.768 TB, found=0, notFound=50
Root -9223372036298332415: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036298275071: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036298267903: #dirs=0, #files=500, size = 56890 = 55.557 KB, found=0, notFound=500
Root -9223372036297749247: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036297748735: #dirs=0, #files=500, size = 5242880000000 = 4.768 TB, found=0, notFound=500
Root -9223372036286870271: #dirs=0, #files=500, size = 56890 = 55.557 KB, found=0, notFound=500
Root -9223372036286341887: #dirs=2, #files=0, size = 0 = 0 B, found=0, notFound=0
Root -9223372036286340351: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036286328575: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036286328063: #dirs=0, #files=5, size = 5242880000000 = 4.768 TB, found=0, notFound=5
Root -9223372036276317695: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036276306431: #dirs=0, #files=2, size = 85 = 85 B, found=0, notFound=2
Root -9223372036276299263: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036276241407: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036276240895: #dirs=0, #files=50, size = 5242880000000 = 4.768 TB, found=0, notFound=50
Root -9223372036266175487: #dirs=0, #files=50, size = 5640 = 5.508 KB, found=0, notFound=50
Root -9223372036266118143: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036266110975: #dirs=0, #files=500, size = 56890 = 55.557 KB, found=0, notFound=500
Root -9223372036265592319: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036265591807: #dirs=0, #files=500, size = 5242880000000 = 4.768 TB, found=0, notFound=500
Root -9223372036254937599: #dirs=0, #files=500, size = 56890 = 55.557 KB, found=0, notFound=500
Root -9223372036254419455: #dirs=0, #files=2, size = 89 = 89 B, found=0, notFound=2
Root -9223372036254411775: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036254405119: #dirs=0, #files=5, size = 560 = 560 B, found=0, notFound=5
Root -9223372036254399487: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036254386175: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036254384127: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036254377471: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036254376959: #dirs=0, #files=1, size = 1048576000000 = 976.563 GB, found=0, notFound=1
Root -9223372036252356607: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036252349439: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036252342271: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036252325375: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036252324863: #dirs=0, #files=10, size = 1048576000000 = 976.563 GB, found=0, notFound=10
Root -9223372036250311679: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036250295295: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
Root -9223372036250288127: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036250179071: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036250178559: #dirs=0, #files=100, size = 1048576000000 = 976.563 GB, found=0, notFound=100
Root -9223372036248071935: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036247963391: #dirs=0, #files=2, size = 88 = 88 B, found=0, notFound=2
Root -9223372036247956223: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036247948543: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036247948031: #dirs=0, #files=1, size = 1048576000000 = 976.563 GB, found=0, notFound=1
Root -9223372036245940479: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036245933311: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036245926143: #dirs=0, #files=10, size = 1120 = 1.094 KB, found=0, notFound=10
Root -9223372036245909247: #dirs=0, #files=2, size = 86 = 86 B, found=0, notFound=2
